GEOID,NAME,pov_count,pov_se,snap,hu_sampled,pep,rrate
01001,"Autauga County, Alabama",6275,645.5927051671732," 8,029 ",1386,60342,88.7
01003,"Baldwin County, Alabama",24819,1389.0577507598784," 20,790 ",5468,253507,85.5
01005,"Barbour County, Alabama",4746,375.0759878419453," 6,082 ",952,24585,80.3
01007,"Bibb County, Alabama",4258,381.1550151975684," 3,434 ",595,21868,83.6
01009,"Blount County, Alabama",8269,558.6626139817629," 6,483 ",1969,59816,87.5
01011,"Bullock County, Alabama",2344,339.209726443769," 2,738 ",241,9897,76.4
01013,"Butler County, Alabama",3881,393.9209726443769," 5,062 ",831,18382,82.1
01015,"Calhoun County, Alabama",19558,1079.0273556231002," 20,707 ",3114,116429,87.5
01017,"Chambers County, Alabama",5214,440.12158054711244," 6,956 ",969,34079,85.2
01019,"Cherokee County, Alabama",3606,348.93617021276594," 3,628 ",1120,25666,91.5
01021,"Chilton County, Alabama",6111,609.726443768997," 7,672 ",1112,46431,81.4
01023,"Choctaw County, Alabama",2413,221.88449848024317," 3,199 ",601,12252,85
01025,"Clarke County, Alabama",4607,448.0243161094225," 5,832 ",806,22337,79.7
01027,"Clay County, Alabama",2295,317.32522796352583," 1,832 ",418,14111,88.3
01029,"Cleburne County, Alabama",1984,319.75683890577506," 2,779 ",560,15639,89.4
01031,"Coffee County, Alabama",9409,446.8085106382979," 7,968 ",3103,55643,90.1
01033,"Colbert County, Alabama",9626,672.9483282674772," 7,707 ",1578,58361,81.6
01035,"Conecuh County, Alabama",3125,228.57142857142856," 2,943 ",513,11174,85.4
01037,"Coosa County, Alabama",1161,203.03951367781156," 1,970 ",462,10268,80.5
01039,"Covington County, Alabama",6681,541.6413373860182," 7,604 ",1757,37952,85.8
01041,"Crenshaw County, Alabama",2081,205.47112462006078," 3,141 ",712,13101,83
01043,"Cullman County, Alabama",12299,872.3404255319149," 9,208 ",2752,92016,89.2
01045,"Dale County, Alabama",9078,606.0790273556231," 9,811 ",1985,49871,91.5
01047,"Dallas County, Alabama",10748,705.1671732522797," 13,915 ",1159,36165,82.2
01049,"DeKalb County, Alabama",14405,882.0668693009119," 13,831 ",2560,72569,86.9
01051,"Elmore County, Alabama",8652,662.6139817629179," 9,906 ",2067,90441,88.3
01053,"Escambia County, Alabama",7238,578.7234042553191," 8,173 ",1118,36558,84.3
01055,"Etowah County, Alabama",17401,823.1003039513678," 17,014 ",3117,103241,88.4
01057,"Fayette County, Alabama",2967,460.18237082066867," 3,383 ",697,15967,82.8
